,lepton1_pt,lepton2_pt,lepton3_pt,lepton1_eta,lepton2_eta,lepton3_eta,lepton1_phi,lepton2_phi,lepton3_phi,MET,MET_phi,lepton1_flavor,lepton2_flavor,lepton3_flavor,lepton1_charge,lepton2_charge,lepton3_charge,visible_pt,transverse_mass,dilep_mass,dilep_DR
0,19157.470106184297,19157.470106184297,16832.358572379275,1.0602396290892302,1.0602396290892302,1.1694731143846184,-1.5653458705678402,-1.5653458705678402,-1.5492543128086942,74405.77361870014,0.34374741133495007,13,13,13,-1,-1,1,55145.78469487929,149082.09387496574,1994.8896394384037,0.11041237494454022
1,17335.33196418372,17335.33196418372,15230.525698515174,-0.5852249971795799,-0.5852249971795799,-0.6538442786341049,2.439753482741117,2.439753482741117,2.419471295400264,143914.75721433802,2.645037260155533,11,11,11,1,1,-1,49899.01311861967,200739.26830356504,1162.8518691802453,0.07155398598725843
2,34789.668234548015,34789.668234548015,13374.468053915896,-0.22041762838859225,-0.22041762838859225,-0.3617224905573255,-0.016848460909458456,-0.016848460909458456,-1.0864926107203599,63702.6037619663,1.678162256845117,11,11,11,1,1,-1,76904.71852586669,147836.48682687333,22199.208370663364,1.078937287935314
3,36654.541750333956,36654.541750333956,3994.7876980828837,-1.342272014269827,-1.342272014269827,-1.2424374074819284,-2.637506537888666,-2.637506537888666,-2.716438781610192,35974.15413553796,2.928563762029296,11,11,11,-1,-1,1,77292.0751435991,136366.58187159878,1540.2548091357023,0.12726840853648105
4,2180.989320856794,2180.989320856794,1334.2671973606557,0.6056443088562338,0.6056443088562338,0.6012791736515755,2.0990281369017123,2.0990281369017123,2.1077021541912044,75079.39028371376,-0.37849440864406597,11,11,11,1,1,-1,5696.207402299987,81767.16324015359,16.564059532602652,0.00971045731638607
5,28760.325439558183,28760.325439558183,9785.009253134322,-0.7820682037472686,-0.7820682037472686,-0.8939376228509053,-2.411051600902461,-2.411051600902461,-2.4282540202780933,34099.354199130525,-2.053866050125026,13,13,13,-1,-1,1,67304.42283002895,108798.63303127876,1914.556384043373,0.11318431942173013
6,455.73196292322336,103.37839540106036,103.37839540106036,0.04843646141167705,0.04932054497928168,0.04932054497928168,-2.701085270073973,-2.7050305293518955,-2.7050305293518955,134328.50644561808,0.7967039789798167,11,11,11,-1,1,1,662.4876468169906,134991.7803561291,1.57814305547513,0.0040431020917783556
7,21210.4532216069,21210.4532216069,7920.679451917518,-2.6752812521759415,-2.6752812521759415,-2.7490838074111124,-2.4864344216408654,-2.4864344216408654,-2.5111077326580395,67683.25455771919,1.2129915268723483,13,13,13,-1,-1,1,50339.55434711814,239597.62610379743,1035.952155098339,0.07781766788969363
8,459.32552748282114,459.32552748282114,239.2634445021233,0.40229196412116336,0.40229196412116336,0.39848725691860437,-1.5316111746999834,-1.5316111746999834,-1.5184136697203725,100815.43840810454,-2.7570860700098088,11,11,11,1,1,-1,1157.8979683999873,102066.8309799825,4.682908013509204,0.013734989427883053
9,149.83947409405351,149.83947409405351,72.54221016650305,-0.8941014517317177,-0.8941014517317177,-0.9079330159914009,-2.82850959521943,-2.82850959521943,-2.8455048885832936,52524.460690710795,-2.6654171722362885,11,11,11,-1,-1,1,372.2127236910299,53055.311559329006,2.53148963231627,0.02191237473195288
10,29119.190433260013,24996.960726001893,24996.960726001893,2.3861974179175056,0.5338454698628007,0.5338454698628007,-1.4710523108270197,2.886767601725822,2.886767601725822,98847.18595096118,-2.651674892696862,11,11,11,1,-1,-1,48336.98403201243,255950.74476930723,72524.2483822483,2.671748424213676
11,3859.185022091795,3859.185022091795,141.91838548714904,1.5478043655442493,1.5478043655442493,0.16907502314128842,-2.4174714804400734,-2.4174714804400734,0.46203604048184055,14251.213661570448,-3.1168998129584824,11,11,11,-1,-1,1,7581.387081893013,28494.254853493156,1835.8085738100335,3.1925629457614093
12,409.8148928894291,409.8148928894291,350.7489306851601,1.75571553814979,1.75571553814979,1.728336303755939,2.474379068721337,2.474379068721337,2.470157304074291,24785.12336516788,-1.184102986552189,11,11,11,-1,-1,1,1170.3765274654588,28058.03842560159,10.546584024565743,0.027702811639407333
13,1739.779477159453,1739.779477159453,93.99340489330555,-2.570279021941821,-2.570279021941821,2.4757116431905715,-0.31217316391307715,-0.31217316391307715,2.1370803151525255,25693.16185191978,0.5703295589205815,11,11,11,1,1,-1,3407.735312849794,43900.58060512168,5066.037877466914,5.608998519996079
14,32093.519474950295,32093.519474950295,2115.775229917672,-1.9825781132147342,-1.9825781132147342,-0.3059587287042211,-0.2616399592268531,-0.2616399592268531,-2.257900035701199,49356.47385157013,0.10505177106909278,13,13,13,-1,-1,1,63343.0895868167,175992.0350282702,20796.089495937267,2.6069343784302994
15,453.60199101490224,453.60199101490224,147.71399629078675,-0.8767670788099299,-0.8767670788099299,-0.8711710556918292,2.3761927335785025,2.3761927335785025,2.384199824429258,92010.62021494379,0.879799810467969,11,11,11,-1,-1,1,1054.9139061502513,93490.97767591034,2.798962898463477,0.009768775697628096
16,13245.31670336214,13245.31670336214,7258.746270079486,-0.5289746951327173,-0.5289746951327173,-0.06465228288624468,2.0151336736683234,2.0151336736683234,-1.2930334776533752,48864.94585710461,-2.3472616814485074,11,11,11,1,1,-1,19369.785916448716,85085.55206049842,20075.343085447013,3.0110344285973305
17,12788.160216662214,12788.160216662214,3332.45365433818,-3.7158096581082076,-3.7158096581082076,-0.6005715229638421,2.209735506591085,2.209735506591085,0.4868686328348292,11524.356560128112,1.5714623754178698,11,11,11,1,1,-1,25286.966730341792,122200.6272012054,31230.10666648734,3.55991276625487
18,530.1657841496418,530.1657841496418,267.7247525090501,-1.7925490313273125,-1.7925490313273125,-1.776781284419548,-2.866060198179749,-2.866060198179749,-2.8375990327493836,42192.54575386902,-1.6070424668237038,11,11,11,1,1,-1,1327.969749510855,46116.647453074445,12.294937652656545,0.03253705242030913
19,5106.895711122118,5106.895711122118,2265.943895239033,-2.5409180047278284,-2.5409180047278284,-2.4678680966690405,-2.059719492225959,-2.059719492225959,-2.282567232355131,72808.97696523929,-1.7535122757612802,11,11,11,1,1,-1,12433.792318593447,130053.41298245343,796.2518340243862,0.23451525397738274
20,372.20925243436,372.20925243436,69.54242494861093,0.8053096436275652,0.8053096436275652,0.8008675754195063,-0.43180859920648185,-0.43180859920648185,-0.4370507365437415,56471.049911561626,1.2482986734988246,11,11,11,1,1,-1,813.9600559420314,57558.64266835053,1.789535268102231,0.006871096988672149
21,34674.134217705345,34674.134217705345,10369.203759199972,0.6940116345088823,0.6940116345088823,0.7120681054972554,1.447334321473899,1.447334321473899,1.5070334422920164,197741.21824211907,1.4536441034953578,13,13,13,-1,-1,1,79701.40099937152,291449.1197027272,1208.636743699748,0.06237003423928952
22,308.99885432281843,308.99885432281843,114.80927610931184,0.4978863404605445,0.4978863404605445,0.5769235471570912,1.0420287269755792,1.0420287269755792,0.9999269222307319,141734.0854434404,2.9500448052809087,11,11,11,1,1,-1,732.7211808708564,142564.19515704873,16.90884433311585,0.08955133726062328
23,3045.510553757848,3045.510553757848,2412.5124193472757,1.0863150762121794,1.0863150762121794,-0.6788494751102805,-3.013885444665663,-3.013885444665663,-2.572326130848856,28125.263701376894,0.2955269183347764,13,13,13,-1,-1,1,8336.140947292877,40697.84069856114,5563.009908055079,1.8195550337551736
24,3190.1925890027496,3190.1925890027496,267.02326162439084,-1.015126927329149,-1.015126927329149,-0.6894313650014529,2.02338020337502,2.02338020337502,1.2179553262959508,37896.09806817028,-0.7987677111482967,11,11,11,-1,-1,1,6568.2033683898335,47545.94537945495,783.926355093993,0.8687846867537363
25,14402.125196835928,14402.125196835928,649.4047334624414,0.9396665759662222,0.9396665759662222,0.942761522868222,-1.3033978551278382,-1.3033978551278382,-1.3018448216341876,84629.50308177187,-0.26543520876749194,11,11,11,-1,-1,1,29453.65436124783,124028.49943050789,10.799998125654517,0.003462745927526194
26,11391.64560507056,2734.6985426847973,1291.2275904063831,0.6848793015572536,0.6848705996461346,0.5495850259224772,2.568009263381616,2.5682139573927145,2.853866267612527,70897.07007814271,-2.1415850452671856,11,11,13,1,-1,1,15369.500718792315,89263.64504626476,1.2439003417429764,0.00020487889456139688
27,99357.63518714914,99357.63518714914,46744.62750414416,2.341267331605525,2.341267331605525,0.3343079569906677,-1.5640047723877637,-1.5640047723877637,1.5761053098153508,85695.875840329,-2.547638310949507,13,13,13,-1,-1,1,151970.71004463232,553615.000105837,210881.17029635853,3.726684486203267
28,21586.737076786474,21586.737076786474,9912.153146149201,0.4033131190079262,0.4033131190079262,0.3923681186804048,-2.99829427765449,-2.99829427765449,-2.948345032938887,78491.91501957213,2.6993859187832268,11,11,11,1,1,-1,53075.572191735,134137.09087461323,747.9208444765197,0.051134333669547824
29,425.27078329641137,425.27078329641137,232.2736527385918,2.090377534918571,2.090377534918571,1.8228783117022058,-1.2461435872801148,-1.2461435872801148,-1.3525818724857188,45714.40992705045,2.6456630962905856,11,11,11,1,1,-1,1081.7822104878974,49776.66677305299,90.71597842750454,0.2878974521923878
30,7356.111567574022,7356.111567574022,3275.2606877691787,-0.6190085237641451,-0.6190085237641451,-0.6178879146610928,0.948461810206346,0.948461810206346,0.9480824829731841,23278.42104649532,1.7026329266472895,11,11,11,-1,-1,1,17987.48363018612,43224.91186269988,5.4455175922142205,0.0011830696985646264
31,5556.804690677025,5556.804690677025,3495.991809171063,2.7698439690485857,2.7698439690485857,1.993395797889244,-3.0197324191342414,-3.0197324191342414,-1.5551200552641242,61988.65339175598,-0.007998022713887783,13,13,13,-1,-1,1,11998.746817690584,129370.7978643534,6863.73136412811,1.6576975414405062
32,21212.90498408502,21212.90498408502,3053.9076799420973,-0.9001727060804877,-0.9001727060804877,0.2713017165929206,-1.9673104140333613,-1.9673104140333613,0.3448581742335578,63739.580179171106,-2.4804666596889637,11,11,11,1,1,-1,40426.299763302544,120356.27734036333,17793.471856614186,2.5920022962077467
33,1255.1522058546204,36.36833570222455,36.36833570222455,1.800003546634964,-6.087608026436934,-6.087608026436934,-2.095922007952844,2.9606850701031906,2.9606850701031906,131028.47329358164,-1.7313998791773955,11,11,11,1,-1,-1,1281.5284004803475,150440.51286821355,11026.254516059968,7.982412572638526
34,16471.84591358151,16471.84591358151,9401.394026693151,3.2582316299392255,3.2582316299392255,0.6757031638300406,-0.4126759721900559,-0.4126759721900559,2.7031327479941822,69907.16406818184,-0.8769767222546045,11,11,11,-1,-1,1,23546.670197899268,267922.74543347454,48684.508753463095,4.046939245780742
35,16251.675736546047,16251.675736546047,12022.56492841611,-1.177099209354652,-1.177099209354652,-1.2438806284495467,-3.0405843024376233,-3.0405843024376233,-3.140957062219121,121381.96538092659,-1.6335178815270472,11,11,11,-1,-1,1,44481.72222144107,190313.4446776654,1684.7862667556492,0.12055890196282582
36,39764.88939021539,39764.88939021539,9778.498296224287,0.5726894806578123,0.5726894806578123,0.2757868709910593,0.978285404987161,0.978285404987161,1.303765785589003,67696.21017308906,1.581383804859086,13,13,13,1,1,-1,88849.91531921079,163048.94699186267,8685.3584029192,0.44055492028082976
37,2006.6540365456603,712.6510338782132,452.3844561071386,-0.9256854766131353,-0.9264340261066712,-1.1208631653035603,-1.0024942073074312,-1.0025511243099932,-0.25242826307630395,71517.60707738489,2.966045212764634,11,11,13,1,-1,1,3065.8345524522997,76182.01735313165,1.5549721612979701,0.0007507102566593877
38,21221.738234956865,21221.738234956865,3713.230921343828,-0.124459131848527,-0.124459131848527,-1.0626240042475192,1.6799554133001429,1.6799554133001429,0.5868190498081108,74864.96683145913,-1.309761324639344,13,13,13,1,1,-1,44273.43651750358,123246.29793461182,12641.72530317301,1.4405208908558047
39,9087.244654928792,9087.244654928792,1029.0254618680608,2.771312068713688,2.771312068713688,2.578050595674943,-0.6869120564626613,-0.6869120564626613,-0.6585425846710766,98146.97859771078,-0.3550775287747636,13,13,13,1,1,-1,19203.122889630926,199890.66224527892,707.8639549398722,0.19533259812647544
40,27806.595218245395,27806.595218245395,10091.498463855949,1.2423477395882256,1.2423477395882256,1.2305021970100225,-0.8395536266070001,-0.8395536266070001,-1.0237423545714504,31180.997458884005,1.5266151985984326,13,13,13,-1,-1,1,65560.05059207715,113866.65094272114,3096.742427518564,0.18456924009198905
41,12715.684661978505,12715.684661978505,9633.594368597365,-0.11126121427649557,-0.11126121427649557,2.2614047070035266,2.282085813790779,2.282085813790779,0.1393777960336952,32596.97631295361,-0.18126985144755223,13,13,13,-1,-1,1,21779.754552944665,95747.16364113532,38183.676182975905,3.196989399945528
42,123.65542954878535,123.65542954878535,101.55291275045093,0.46863466011668886,0.46863466011668886,0.4849729537764647,-1.587405272277114,-1.587405272277114,-1.7094585707926384,66082.59616007935,0.9666894642932822,11,11,11,1,1,-1,348.3277983979463,66471.07816447828,13.829006388344412,0.12314198113654337
43,47803.84449052434,47803.84449052434,6605.87247672524,1.6885069155359698,1.6885069155359698,1.6554463787011995,0.4576550318462174,0.4576550318462174,0.43203055694020726,43020.46951382495,0.3460928738674362,11,11,11,1,1,-1,102211.5329579017,191986.47303498135,743.0169513996914,0.04182837326518864
44,13933.654684769881,13933.654684769881,10653.302141044353,-1.3960169690560291,-1.3960169690560291,-1.368901867889065,2.624571100260222,2.624571100260222,-0.5436756973151048,55127.97325432404,1.8139736710961702,11,11,11,-1,-1,1,17220.132055384536,116476.1141150267,24367.218641270672,3.115056523937712
45,6793.603775399636,6793.603775399636,5930.225710874313,-0.5856051285893422,-0.5856051285893422,2.9123237619914097,-0.6025080515488789,-0.6025080515488789,2.959921989573576,71224.20736245022,2.332457415690648,11,11,11,1,1,-1,8525.854866452171,134273.10629732395,37498.612449771856,4.431480084727574
46,23105.334161468672,23105.334161468672,20907.740489995642,-0.1781676017871674,-0.1781676017871674,-0.21610374005575167,-2.8689557064428244,-2.8689557064428244,-2.815273295956264,61494.494565117355,0.09597365965025612,11,11,11,1,1,-1,67097.66901475094,129202.9106360529,1444.6711346889438,0.06573394695574523
47,20596.114735853287,20596.114735853287,7280.56165836656,-0.6420615461634203,-0.6420615461634203,1.0873977073630197,2.0348621750053453,2.0348621750053453,-1.5602941706483842,38590.513171126746,-0.94972036287147,11,11,11,1,1,-1,34794.34908664341,98835.98015552458,33786.74715458581,3.1963305535582527
48,948.3273961539095,948.3273961539095,303.6452145166752,-0.9242242868881254,-0.9242242868881254,-0.9956304988864443,1.3035906021175823,1.3035906021175823,1.32411993601815,179803.7032315523,1.0602478976122192,11,11,11,-1,-1,1,2200.2448520967755,183021.41310211993,39.89401370872774,0.07429872584607258
49,9516.517056619436,9516.517056619436,5211.5945074113015,-0.19753905168435493,-0.19753905168435493,0.4950681354262828,2.94570406246434,2.94570406246434,1.3183172521088888,57431.905154438056,-1.6313219640580037,11,11,11,1,1,-1,19447.272251341194,82693.62376897722,11382.476675276193,1.768641440811619
50,12894.323956185048,12894.323956185048,2070.0770897720404,1.5570645519608093,1.5570645519608093,1.769036172978711,0.4837989720099118,0.4837989720099118,0.43669903749970757,31086.936735765463,2.006504385189681,13,13,13,-1,-1,1,27856.59979756072,78143.79822856402,1159.5993277044763,0.2171413639724649
51,9683.170064064234,9683.170064064234,6617.864916671123,2.219422595743704,2.219422595743704,-0.5664631084603451,-2.874171956814433,-2.874171956814433,0.45557312627384067,65472.96682043931,-1.6530368798618518,13,13,13,1,1,-1,12924.682645773126,140024.69788599398,34190.33004141681,4.060045358634437
52,4708.826040325064,4708.826040325064,2065.9427197061264,0.9309866326822102,0.9309866326822102,2.2099827548038973,2.2102643566538056,2.2102643566538056,-2.1518888535330336,38117.63005043942,2.1864437321652095,13,13,13,-1,-1,1,8922.365524558449,58311.361568850734,6662.038988719487,2.307855151017642
53,32741.134114174252,32741.134114174252,18347.999840059467,1.4074853032037062,1.4074853032037062,0.01003338870618271,-2.994368915179974,-2.994368915179974,1.3715866630417899,50451.73476410114,2.7026513169482347,11,11,11,1,1,-1,61714.42749260107,168773.98166041885,54647.67345976007,2.3724758559219263
54,51368.57173933839,51368.57173933839,2776.1170795247112,2.204695558354952,2.204695558354952,1.0930513078142372,0.33687683552059755,0.33687683552059755,2.930348547300583,30151.98827590437,2.8260945303009573,11,11,11,1,1,-1,100378.13743761274,202831.24333320753,26903.109042118216,2.8216747614782314
55,191.0726043841692,191.0726043841692,23.380068488012288,-2.7090008261801306,-2.7090008261801306,-2.8533990984809723,-1.083864685124134,-1.083864685124134,-0.9246822040037327,124326.24418401845,0.08330798549804846,11,11,11,1,1,-1,405.2466338325249,127374.53525830958,14.448835304187774,0.21491841088914404
56,4906.823689746979,4906.823689746979,752.1734899325567,-3.064608789726816,-3.064608789726816,-4.213858259335102,1.2784550237610228,1.2784550237610228,-0.3807719852939452,52172.36171767175,1.670734698537135,13,13,13,-1,-1,1,9775.971919487136,128424.07128085534,3676.911574603506,2.0183678086445047
57,2480.090320851211,2480.090320851211,750.1689446670234,1.5363583464565687,1.5363583464565687,1.7152079970396135,-1.3818867825028684,-1.3818867825028684,-0.9456676340762914,84737.9028722239,0.5807557177209306,13,13,13,-1,-1,1,5648.999538911359,98095.68539348022,682.4182985202896,0.47145979994871806
58,23168.927444069934,23168.927444069934,1024.1150241608598,0.5644154113183851,0.5644154113183851,0.3257062712770877,-1.6183389079415662,-1.6183389079415662,-1.5541433292072755,75264.19939049809,0.10332774379133829,13,13,13,1,1,-1,47359.905979954056,127241.6073027742,1325.6430053430581,0.24719046476004342
59,22787.0332909477,22787.0332909477,480.982346473643,0.7512439106539762,0.7512439106539762,0.7292562031654563,2.136952096842954,2.136952096842954,1.8864820009629528,49858.45732058997,-1.1983888625437022,11,11,11,1,1,-1,46040.19470915394,102745.23257404487,830.2382055458961,0.2514333474516412
60,15500.888711067182,15500.888711067182,3350.0690361190045,0.6744810622224203,0.6744810622224203,1.3775838762420118,1.4425002489812764,1.4425002489812764,-1.1413008721882512,63409.55407672602,2.923005610540974,13,13,13,-1,-1,1,28215.267478504866,104932.61853990695,14791.119548315624,2.677756859918237
61,237.207245427057,98.56647022256197,98.56647022256197,0.6089505894228866,0.6077157102705727,0.6077157102705727,2.9132383759400216,2.918711560897172,2.918711560897172,6745.691629525342,-0.049395430805832176,11,11,11,1,-1,-1,434.3385733447433,7257.495538818793,1.4130120885666013,0.0056107646623251
62,10765.132192624576,10765.132192624576,8199.951499101895,-1.817248105635289,-1.817248105635289,-2.1487529735207036,0.30686425074889623,0.30686425074889623,0.26646037621031193,121605.6134264088,2.7876907975902485,13,13,13,-1,-1,1,29725.369086173974,202232.19572368157,3158.893528562917,0.3339580071048692
63,15009.531807275485,15009.531807275485,10162.262113620489,-0.9179192312231785,-0.9179192312231785,-0.9180181880398238,-1.4688139821319612,-1.4688139821319612,-1.4686638180436096,148155.19351752652,-2.333470300020445,11,11,11,-1,-1,1,40181.3256425731,202111.61456390706,4.257815915727558,0.00017983799651646762
64,7204.936355388349,7204.936355388349,4698.325479400364,0.27172540805924195,0.27172540805924195,-1.7379002527609184,0.22515571971496845,0.22515571971496845,0.45146734403840494,17312.042661550982,3.071745277999574,11,11,11,1,1,-1,19017.636773263694,45141.98471367097,13824.206468514425,2.0223284223712965
65,9018.310852602008,9018.310852602008,741.0805142543609,-1.392805380686231,-1.392805380686231,-1.3876909638316086,-1.2096721828436316,-1.2096721828436316,-1.2105847670624155,80852.90084099802,2.9980633165231914,11,11,11,-1,-1,1,18777.70192304757,115664.73461294326,12.711559088197028,0.005195196793117596
66,5355.936545435146,5355.936545435146,716.2515264951279,1.1377909378208342,1.1377909378208342,1.138164797836925,-1.3571357577211558,-1.3571357577211558,-1.3542340017098256,80878.13685741393,0.5146300848390915,11,11,11,-1,-1,1,11428.121790874786,99256.44880695875,5.436447718623886,0.002925740805492277
67,15308.80064501779,15308.80064501779,9961.202017752064,1.532742538933539,1.532742538933539,1.471106518021289,1.8041473626749909,1.8041473626749909,1.8995928650598062,62836.42693867579,-0.45712897450836737,11,11,11,1,1,-1,40544.58030837927,133379.3614648584,1402.7774557871223,0.11361708938088978
68,63446.294903925664,63446.294903925664,3129.5433035601995,-1.2228124163561858,-1.2228124163561858,1.1622759980700537,2.5799919911912754,2.5799919911912754,-2.498827490528083,23983.468766627713,-2.363358930141534,13,13,13,1,1,-1,128047.19774985404,180369.95932206354,45084.44792294178,2.6719176233871376
69,7513.73974125228,7513.73974125228,3227.429888646376,0.9509774453795878,0.9509774453795878,1.0307584334089424,0.6051515566580294,0.6051515566580294,0.6449048178552413,157065.85510594712,-1.862546222629555,13,13,13,-1,-1,1,18252.810206114096,183376.10802508742,494.6136343376576,0.08913656840351081
70,4915.189125054442,4915.189125054442,3247.708089645685,-1.2527869568025751,-1.2527869568025751,-0.9944009684792294,-0.5641328248067644,-0.5641328248067644,-0.9802524728322023,36245.97170672581,-0.008457816027142042,11,11,11,-1,-1,1,12868.078888037644,56547.50031010264,1948.368672827639,0.4898151492498435
71,3525.2204395093313,3525.2204395093313,277.2040491968229,0.9896403936191217,0.9896403936191217,0.6977965264408139,-2.676334439729722,-2.676334439729722,-2.591304957359902,32747.410624616194,-1.4790663289540225,11,11,11,1,1,-1,7326.681260337901,43081.00937991542,301.47746315020885,0.3039783802866074
72,21915.736930989446,21915.736930989446,14823.066118671193,-0.01622652812279441,-0.01622652812279441,0.10631397390109981,-3.0136244372692524,-3.0136244372692524,-2.9591181648589693,119696.50097014016,-2.12033931461658,11,11,11,1,1,-1,58638.08721746908,178438.55287573033,2418.5098365072413,0.13411602576997284
73,37363.36016545855,37363.36016545855,36419.43060825088,-0.46699520466034106,-0.46699520466034106,0.04164316439041667,-1.4000623978343512,-1.4000623978343512,2.1551780321373557,28287.941737890003,1.3565893246759522,13,13,13,-1,-1,1,43892.005029047345,143640.5846095189,74654.02931962161,2.774958782316474
74,25573.44829425341,25573.44829425341,1911.936528550471,-0.12363635844019327,-0.12363635844019327,-0.1922896826596853,-1.3744618317346997,-1.3744618317346997,2.407480299524912,30679.35065343848,2.0983805648908893,11,11,11,-1,-1,1,49626.88869521706,83897.17831655528,13282.935422191704,2.5021851857951334
75,21961.069808596465,21961.069808596465,9087.963415554272,0.555971366732285,0.555971366732285,0.6351754041283343,2.0879928812273096,2.0879928812273096,1.960267066911554,53378.65755489935,2.600492220546621,11,11,11,1,1,-1,52948.729693429144,110756.5518467106,2122.321811894149,0.15029026309930277
76,4736.442586038939,4736.442586038939,4705.100874270361,-0.9810771932253232,-0.9810771932253232,-0.8697345822244362,-2.585057520957084,-2.585057520957084,-2.61407884228925,52555.67993138325,2.2218960217545045,11,11,11,1,1,-1,14176.662220583063,71916.34277516736,543.4380698331573,0.11506265300417708
77,1083.9427912177325,1083.9427912177325,784.0133964695112,-1.8155835945072525,-1.8155835945072525,-1.8079213583896812,2.0245038168202365,2.0245038168202365,2.023853654568825,128862.1897393145,2.729260545927172,11,11,11,1,1,-1,2951.8988572102244,137872.50487383734,7.098421398818849,0.0076897706906367035
78,136.19908136667604,136.19908136667604,39.322204930003636,-1.1599149733060885,-1.1599149733060885,-1.154687349286393,-2.332958176513736,-2.332958176513736,-2.4322461160041713,65520.176013644494,2.510653239548189,11,11,11,1,1,-1,311.5510894807603,66064.37140615266,7.376267452949701,0.09942546445024839
