,lepton_pt,MET,MT,Mll
0,23705.5368937,113191.871427,155328.764799,18138.873636
1,41014.2848496,121224.054033,282198.480001,94255.1494197
2,18543.2667566,105985.451523,164723.672466,48588.2788914
3,49284.745269,115638.399306,202431.506177,37271.0781231
4,100246.022899,172669.011572,402180.057783,37271.0781231
5,242640.073783,272288.32,657079.085499,37271.0781231
6,59695.6518021,140401.657305,233315.066683,32745.6602966
7,18403.35647,161487.170183,244489.301267,38194.6197025
8,80098.1530557,438740.170755,536022.482125,46558.4867372
9,48106.6017242,55316.1926182,192516.010826,19755.575699
10,68601.9276961,148161.182191,248186.089608,19414.6187209
11,47480.6637778,202539.784537,531655.217938,19414.6187209
12,81994.4363116,165583.629833,416666.7068,81610.2088413
13,53489.235901,87120.5735643,189423.344514,28868.0453045
14,14681.1733962,309412.959958,615729.968789,92935.9007824
15,134255.245429,65829.2400055,210380.183002,33060.2667924
16,104757.995137,35840.2131571,180419.928578,47491.2952446
17,28558.2867538,51001.3212648,201564.276453,57858.4042772
18,110938.164098,31710.4436096,162658.262697,35228.8351694
19,16395.7826405,317427.25666,502689.760817,35228.8351694
20,45507.8076327,297072.754457,484892.602465,35228.8351694
21,52679.4442821,67325.6902498,198281.997602,49749.4957396
22,27819.5249768,197765.366228,264784.562822,49749.4957396
23,46166.1004201,198912.780277,267602.374298,49749.4957396
24,107137.298726,178954.487006,338118.07309,108549.612442
25,41687.735072,106609.193391,244817.042017,108549.612442
26,50842.4000672,97517.2322028,184848.797216,21432.684071
27,63767.5119492,99891.305752,202573.844029,21432.684071
28,25180.8414988,61446.6181561,123506.096002,10859.1359291
29,21248.754094,179074.0936,241098.838209,22621.7004168
30,42117.6126804,209166.395197,442052.377378,22621.7004168
31,197587.660889,264316.381184,503192.305335,47209.5364123
32,51823.4124995,19290.7329192,80693.6677585,47209.5364123
33,143056.013285,187195.982224,567211.080508,47209.5364123
34,68413.2535696,196213.143414,343500.041729,47209.5364123
35,30794.1800851,64165.902658,245521.041358,147013.420054
36,12873.8618257,472017.28474,581560.160751,52548.4226989
37,29383.6282795,95258.1399363,271758.413979,52548.4226989
38,163761.286713,45256.3127322,255453.382884,46971.6624678
39,45904.3784377,5869.35491632,78021.6061932,32676.009283
40,10822.4466282,199089.086823,325705.017934,32676.009283
41,13043.1986799,52313.1554631,128700.704549,49662.028693
42,15689.2713099,228196.742187,396413.415629,49662.028693
43,89346.6173735,30507.6418955,136748.459802,20068.8676108
44,162733.248114,81892.7494432,274464.812301,20068.8676108
45,94014.6062818,134268.666601,294615.744617,107777.624686
46,55854.3565918,33609.1617721,105389.318395,43938.7930536
47,17623.4241433,230082.919927,292119.264968,43938.7930536
48,50783.3527138,163224.628561,249636.47574,43938.7930536
49,41147.0078639,288319.451445,402008.138789,43938.7930536
50,105725.903656,39616.8202886,352275.969032,25754.2718722
51,27098.3694175,301144.930307,392157.399454,12319.0331061
52,58945.4321625,96286.2240125,186035.502437,12319.0331061
53,78026.5820482,254188.692629,347317.477148,41231.4522666
54,65262.1012311,215488.259744,328817.494192,74580.1806
55,61373.0369281,90652.42911,215083.254688,29053.052947
56,82944.8477301,111649.020594,283329.024866,29053.052947
57,21274.4611852,152926.603587,204809.796057,31356.0208693
58,34686.8695262,89651.8584564,162459.503922,41239.6239502
59,51017.8966826,78922.9160066,283938.986927,41239.6239502
60,125263.534458,67309.9939477,289860.940859,41239.6239502
61,100537.797304,82840.519083,214572.668355,38836.3918812
62,31644.7721516,170101.041676,263369.751729,36095.6352044
63,98234.3284683,338706.544786,578951.762065,24731.5138074
64,79848.2286962,172858.523702,315478.199509,20365.3342506
65,13532.6715216,75834.1817459,171063.743712,29074.2500949
66,89433.6303122,210325.608806,350624.184291,29074.2500949
67,122678.373721,188670.015562,517550.951831,29074.2500949
68,37218.0128151,115491.096008,215997.239097,29074.2500949
69,36447.6231137,328714.48795,404349.654497,29074.2500949
70,62090.3007847,34497.7544992,170937.102292,14353.0705867
71,67148.2217382,48666.2815609,127198.641314,14353.0705867
72,83401.081051,87611.4070148,440015.87612,14353.0705867
73,94901.7219081,117417.142301,321646.837651,164291.697464
74,43870.7019393,30213.3430814,300709.974702,164291.697464
75,29741.6547145,105462.555103,186329.409738,164291.697464
76,77323.6088504,143786.443676,241242.665661,51363.5103996
77,76487.3373656,44603.9911261,195057.100815,51363.5103996
78,68919.6717981,161034.247596,550651.006795,51363.5103996
79,31597.4740123,120991.350917,215478.568975,62681.9879849
80,73115.8633781,89799.3588165,187450.301877,20817.4141185
81,85175.471684,27148.7499317,132954.30382,20817.4141185
82,103513.355964,105096.214194,282775.124491,20817.4141185
83,32809.4846547,177147.443121,310158.168166,20817.4141185
84,45437.291207,43672.2894165,135863.692512,58150.9722657
85,20968.1623899,49214.4320155,186065.986182,119886.155047
86,97951.7404065,99816.2450094,235960.574261,119886.155047
87,109532.557338,13396.9473066,241204.040959,167025.895254
88,118765.57001,78551.4893113,207087.152066,167025.895254
89,8425.41091144,236482.186667,299928.184666,40532.9076354
90,2465.63402577,128985.698185,233006.755844,40532.9076354
91,83237.3523561,172666.374512,410563.969418,40532.9076354
92,55639.5859248,100348.003862,217637.978859,81884.3210774
93,80502.542731,87131.0484329,190610.037542,81884.3210774
94,49268.7899652,130013.220804,218054.473832,53967.2761078
95,37483.6704151,211821.931342,276308.763336,28819.1862777
96,70414.2348002,201444.740312,305536.88816,51156.4049315
97,12439.4136955,354440.629065,594461.012884,51156.4049315
98,26189.3614542,195109.924844,352512.138183,51156.4049315
99,61177.5313604,74516.1184081,230256.476089,47417.3982157
100,29747.2354123,226669.87636,438214.736661,47417.3982157
101,36440.9407003,207256.713441,352414.468907,47417.3982157
102,14646.8899552,108781.361643,196009.376922,33090.8444584
103,67253.5320876,100427.363856,258793.561977,110573.349882
104,106919.128144,128331.021732,325476.76327,110573.349882
105,39916.3573687,167871.005663,292939.335477,110573.349882
106,48008.4725274,198109.339956,295590.875227,43004.5305376
107,21885.3774335,135031.386466,245597.041201,73056.8172902
108,40183.7549969,171076.202143,315752.975479,68497.1928491
109,35980.7676248,208856.023408,329727.281315,20631.7685385
110,52615.0376398,182283.839691,255252.834127,20631.7685385
111,87110.970313,15652.1914777,108832.866574,26457.5034074
112,21742.8152058,82687.3311893,207328.788983,26457.5034074
113,36447.5423492,115342.831339,168731.764338,28500.9904981
114,14016.2330968,98610.3925347,194526.372928,45618.8832442
115,73346.645,73714.9385997,213783.268879,45618.8832442
116,96099.0057804,122968.575029,272499.560014,13913.9712915
117,78763.1370191,286172.253792,556119.166115,30322.2794314
118,36489.2412035,90737.3626661,377071.133441,30322.2794314
119,85480.9556242,92558.5001089,230369.350953,30322.2794314
120,62017.3634157,50636.3853322,232699.346029,145957.348934
121,66932.816375,138171.290748,456706.712027,145957.348934
122,23868.0341558,531240.473161,581961.114739,36983.851938
123,95024.1642109,187969.508404,317628.219132,64402.4999972
124,19416.6853496,165143.748515,218559.678566,34864.1501872
125,41215.9134557,89571.7220161,193590.700481,34864.1501872
126,90075.837829,88251.3812764,288374.09086,34864.1501872
