,lepton1_pt,lepton2_pt,lepton3_pt,lepton1_eta,lepton2_eta,lepton3_eta,lepton1_phi,lepton2_phi,lepton3_phi,MET,MET_phi,lepton1_flavor,lepton2_flavor,lepton3_flavor,lepton1_charge,lepton2_charge,lepton3_charge
0,21129.712327825833,8269.352203409326,2598.6419516194055,0.6979575232574053,1.2679614436340527,0.0766365774411009,-0.6100359062826972,-1.9534916850924846,0.9319362931245271,113191.87142701987,1.5259086083154745,11,11,11,-1,1,1
1,51223.64737969454,49251.44626451984,28772.078191160992,-0.6043891964266254,-0.5902861031942715,-1.522130816906382,-1.1713672521805512,1.2636863608061901,1.7431645009559353,121224.05403262081,2.7491213740551412,13,13,13,-1,1,-1
2,27522.24661937716,14844.470823806161,2311.1412908838884,-0.09415548989862932,1.2578869335538363,-1.108997869811544,2.099139098512904,-1.6391811193116708,1.5018165255740257,105985.4515232958,-1.7723054049567173,13,13,11,1,-1,1
3,39826.765665903855,15952.419811725198,15218.825955621047,0.8648225464608442,0.9495622527170324,0.02059357921465968,-2.339217435207006,-0.6786612533265151,-3.1364163722392853,115638.3993055386,-2.1666191672128594,11,11,11,1,-1,-1
4,73846.08111124084,25043.146400785456,12997.545494196143,-1.1288322861667937,-1.0612456280169948,2.3447714956409,0.08618740801689684,1.2050574841009682,0.636635440662631,172669.01157155566,-2.8447898099179003,13,11,13,-1,-1,-1
5,274797.91129905713,39735.11017606982,7039.623168786317,-0.8978052036783175,0.11397769703918781,-0.9664089045446635,-0.5678849638533706,1.7492213607719354,2.488325977060942,272288.3200000855,2.4862826139687844,13,11,11,-1,-1,1
6,32568.38973122672,32098.862624864843,10218.660755930192,-0.31665555699300485,-0.18248316422354333,1.5939443599429026,1.774444195088943,2.826041838536815,1.018709557378533,140401.65730535673,1.1087811730038548,13,13,11,1,-1,-1
7,23096.2718090978,19144.74236840825,16326.53141826976,-0.5544667039003724,-1.4614280135759816,0.33314259435787624,-0.7090003418430764,-2.490651505151832,2.400293368562289,161487.17018348715,-3.104668372107213,13,13,11,1,-1,1
8,53245.448242060935,19167.537508785572,15097.480062544852,0.2615303732439122,-0.8825874949517757,-0.029617722565574347,-1.9965121702871835,-1.1560269978571356,-2.4337952101049543,438740.1707546078,-1.5813532397546797,11,11,11,-1,1,1
9,49862.80544611859,2614.910630992786,1693.7102133464336,2.267733939716964,3.144148484586946,0.3587096464218759,2.6744396411487243,1.0161772961210072,-0.8550151087776723,55316.19261817681,1.4038069956299408,11,11,11,-1,1,1
10,63343.30292950087,9165.035636182227,7502.399225401651,0.7397891309486176,0.7098173655393729,1.5184265319917862,-0.35032490450945925,-1.179050268469865,1.3459205590464216,148161.1821909616,2.1180958773893153,11,11,11,1,-1,1
11,65607.52478353893,18573.862838970705,8908.15123660574,-2.6376628647399856,-1.8518472203049943,0.6641292248855495,0.15057252126830653,2.767013205838335,-1.6536141168631249,202539.7845369495,2.5173943711029443,11,11,13,-1,-1,-1
12,85110.49948220141,21649.471699501744,8069.769296719676,1.9856161656451163,1.1472357269780367,2.357316364748432,2.904452427365887,-1.358147106478081,2.0348081060421634,165583.62983272917,-1.4264508601331851,11,11,11,1,-1,-1
13,51199.291120176866,5215.385899185036,4349.950833074931,-1.4962195006348191,-0.0012000949476802599,-1.6161429353652295,-0.6340496043080791,-1.3079930900421586,1.3608182268334763,87120.57356434947,0.9978753745246953,11,11,11,1,-1,-1
14,43923.907543240915,33850.65571732442,11056.785717236806,-2.5644743314598957,-1.2998306063465848,-2.734930633119265,1.116104547498656,-1.9020987766742903,2.4289068187636373,309412.95995828963,-2.4541026973833624,11,11,11,1,-1,1
15,100186.44393133838,37399.191184299074,1307.9394925525287,-0.05902468163764739,-0.4026832829899412,-2.0950870290076824,0.1640327963976093,0.582311260142274,-2.1241331922773576,65829.24000545687,-2.6516786922432694,13,13,11,-1,1,1
16,56643.09885585478,54677.41884762575,3810.8881080183164,1.4988807881201252,0.7894717756693312,2.1070442979916035,-0.019068919803244776,0.4359535041734997,-2.694103187011455,35840.21315712613,-1.2327245825339788,13,13,11,-1,1,-1
17,35703.99719271573,26909.403328024,18467.47724139277,-0.19260913194336737,-0.054456039120279576,2.482426549632547,2.638574311606916,-1.2517136920549778,1.790577814998622,51001.32126479925,-1.0930802534318163,11,11,11,-1,1,1
18,108676.35369957077,11606.061353878056,4574.020751201318,-0.6387055944568267,-0.8203018213842135,-0.943548003023879,-1.3017007636678435,-0.2830971639251092,1.5549945725939645,31710.44360955853,1.0298877020515267,11,11,13,1,-1,-1
19,17726.13586250054,7174.5813364933765,4262.467511836364,0.3313672919793522,-3.8350838451805958,2.2135562112311056,-2.8329273297961954,0.9492979503943415,2.496543179645474,317427.2566601504,-1.697614290826043,11,13,11,-1,1,1
